tweet_id,username,name,creation_date,text,location
1698709763989610873,TandCTODAY,TownandCountryTODAY,Mon Sep 04 14:49:02 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/pzE5gs5Ph8,
1698501222225875405,ctvwinnipeg,CTV News Winnipeg,Mon Sep 04 01:00:22 +0000 2023,"Timm Bruch reports on the evacuation orders in Yellowknife being lifted, allowing residents to return to their homes. WATCH HERE: https://t.co/xe2xSpK7QX https://t.co/km9Q54dlE4","Winnipeg, Manitoba, Canada"
1698813237142163537,ctvedmonton,CTV Edmonton,Mon Sep 04 21:40:12 +0000 2023,"Weeks after an evacuation order in Yellowknife due to nearby wildfires, the city is set to reopen on Wednesday, but the territory's finance minister is warning the transition home could be 'stressful'.  https://t.co/AlHiqm5Jb8","Edmonton, Alberta, Canada"
1698709514726343125,TheAlbertan_,MountainViewToday.ca,Mon Sep 04 14:48:03 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/j2XU2kQqXn,"Olds, Alberta"
1698709766611054622,StPaulJournal,St. Paul Journal,Mon Sep 04 14:49:03 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/7YRV4L2JWN,"St. Paul, Alberta"
1698709766015524923,BvilleNouvelle,Bonnyville Nouvelle,Mon Sep 04 14:49:03 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/uWPeRaSg3z,"Bonnyville, Alberta, Canada"
1698710017149473165,AirdrieCityView,Airdrie City View,Mon Sep 04 14:50:03 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/SuVjgUt2t0,"Airdrie, Alberta"
1698709765226921992,BarrheadLeader,Barrhead Leader,Mon Sep 04 14:49:03 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/ZVCbXU3GB7,"Barrhead, Alberta Canada"
1698507419360678168,calgaryherald,Calgary Herald,Mon Sep 04 01:25:00 +0000 2023,"N.W.T. officials say start planning now for lifting of Yellowknife evacuation order

https://t.co/SXGfyqGakA","Calgary, Alberta"
1698710015215820945,rmoutlook,Rocky Mountain Outlook,Mon Sep 04 14:50:02 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/ihDok1tswU,"Bow Valley, Alberta, Canada"
1698710017749205282,rockyviewweekly,RockyViewWeekly,Mon Sep 04 14:50:03 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/7gMArJG6v6,"Airdrie, Alberta"
1698709765487018473,LLBPOSTnews,LLBPOST,Mon Sep 04 14:49:03 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/E6EyEj3uFs,"Lac La Biche, Alberta"
